Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000176695.8	OR4F17	chr19	+	107104	117102	0.096614	52.802057	58.588695
ENSG00000282458.1	WASH5P	chr19	-	60951	71626	0.398515	149.453028	165.831756
ENSG00000282542.1	ENSG00000282542	chr19	+	68403	69178	0.000000	0.000000	0.000000
ENSG00000282798.1	ENSG00000282798	chr19	+	69167	69972	0.000000	0.000000	0.000000
ENSG00000267696.6	ERVK-28	chr19	-	27638483	27646483	0.040336	10.304214	11.433465
ENSG00000279882.1	ENSG00000279882	chr19	-	27639300	27639665	0.401639	53.111757	58.932335
ENSG00000261824.8	LINC00662	chr19	-	27681072	27794005	0.009865	35.716833	39.631082
ENSG00000261770.1	ENSG00000261770	chr19	-	27757184	27760849	0.019640	2.597145	2.881770
ENSG00000267575.9	LINC02987	chr19	+	27793431	27984984	0.019040	71.345200	79.164002
ENSG00000281468.1	ENSG00000281468	chr19	+	27802838	27803472	0.000000	0.000000	0.000000
ENSG00000267264.1	ENSG00000267264	chr19	+	27803538	27804060	0.000000	0.000000	0.000000
ENSG00000267323.1	SLC25A1P5	chr19	-	27805423	27806205	0.000000	0.000000	0.000000
ENSG00000266977.2	ENSG00000266977	chr19	-	27849635	27889222	0.000000	0.000000	0.000000
ENSG00000267389.2	ENSG00000267389	chr19	-	27892495	27898927	0.000000	0.000000	0.000000
ENSG00000290593.1	ENSG00000290593	chr19	+	27902595	27956684	0.000000	0.000000	0.000000
ENSG00000267768.1	ENSG00000267768	chr19	-	27908356	27908554	0.000000	0.000000	0.000000
ENSG00000267630.1	ENSG00000267630	chr19	+	27918943	27929370	0.000000	0.000000	0.000000
ENSG00000267623.4	ENSG00000267623	chr19	+	27936761	27984743	0.000000	0.000000	0.000000
ENSG00000266906.1	ENSG00000266906	chr19	-	27983032	27983332	0.000000	0.000000	0.000000
ENSG00000267509.5	ENSG00000267509	chr19	+	28065267	28125430	0.000000	0.000000	0.000000
ENSG00000266928.1	ENSG00000266928	chr19	-	28294093	28313500	0.000000	0.000000	0.000000
ENSG00000267320.5	ENSG00000267320	chr19	-	28316705	28386204	0.000000	0.000000	0.000000
ENSG00000267238.1	ENSG00000267238	chr19	-	28394851	28396428	0.000000	0.000000	0.000000
