#gene1	gene2	strand1(gene/fusion)	strand2(gene/fusion)	breakpoint1	breakpoint2	site1	site2	type	split_reads1	split_reads2	discordant_mates	coverage1	coverage2	confidence	reading_frame	tags	retained_protein_domains	closest_genomic_breakpoint1	closest_genomic_breakpoint2	gene_id1	gene_id2	transcript_id1	transcript_id2	direction1	direction2	filters	fusion_transcript	peptide_sequence	read_identifiers
OPA3(2395),GPR4(2395),EML2(2387)	FBXO46	./.	-/.	chr19:45604607	chr19:45722015	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000177051.6	.	.	downstream	upstream	duplicates(1)	.	.	.
RELB	EML2	+/.	-/.	chr19:45016215	chr19:45631639	intron	intron	deletion/5'-5'	0	0	0	7	1	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000125746.18	.	.	downstream	upstream	mismatches(1)	.	.	.
RELB	OPA3	+/.	-/.	chr19:45016220	chr19:45566451	intron	intron	deletion/5'-5'	0	0	0	7	0	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000125741.6	.	.	downstream	upstream	mismatches(1)	.	.	.
RELB	OPA3	+/.	-/.	chr19:45016215	chr19:45533122	intron	intron	deletion/5'-5'	0	0	0	7	0	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000125741.6	.	.	downstream	upstream	mismatches(1)	.	.	.
RELB	CKM	+/.	-/.	chr19:45016215	chr19:45314645	intron	intron	deletion/read-through/5'-5'	0	0	0	7	0	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000104879.5	.	.	downstream	upstream	mismatches(1)	.	.	.
RELB	PPP1R37	+/.	+/.	chr19:45016215	chr19:45106475	intron	intron	deletion/read-through	0	0	0	7	0	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000104866.11	.	.	downstream	upstream	mismatches(1)	.	.	.
RELB	MARK4	+/.	+/.	chr19:45016215	chr19:45106475	intron	intron	deletion/read-through	0	0	0	7	0	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000007047.16	.	.	downstream	upstream	mismatches(1)	.	.	.
FTL	FTL	+/+	+/+	chr19:48966679	chr19:48966650	CDS	CDS	duplication/ITD	0	0	0	118	118	low	.	.	.	.	.	ENSG00000087086.15	ENSG00000087086.15	.	.	downstream	upstream	low_entropy(1)	.	.	.
NLRP12	TARM1	-/.	-/.	chr19:53807188	chr19:54077990	intron	intron	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000142405.23	ENSG00000248385.8	.	.	downstream	upstream	mismatches	.	.	.
NLRP12	CACNG7	-/.	+/.	chr19:53807188	chr19:53935744	intron	intron	deletion/read-through/3'-3'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000142405.23	ENSG00000105605.8	.	.	downstream	upstream	mismatches	.	.	.
RELB	ERCC2	+/.	-/.	chr19:45032187	chr19:45361086	intron	intron	deletion/read-through/5'-5'	0	0	0	1	1	low	.	.	.	.	.	ENSG00000104856.15	ENSG00000104884.17	.	.	downstream	upstream	mismatches	.	.	.
ZNF675	RPSA2	-/.	+/.	chr19:23652317	chr19:23813755	intron	intron	deletion/read-through/3'-3'	0	0	0	2	1	low	.	.	.	.	.	ENSG00000197372.10	ENSG00000288920.1	.	.	downstream	upstream	mismatches	.	.	.
ZNF675	ZNF675(22640),ZNF681(29335)	-/.	./.	chr19:23652317	chr19:23709860	intron	intergenic	deletion/read-through	0	0	0	2	1	low	.	.	.	.	.	ENSG00000197372.10	.	.	.	downstream	upstream	mismatches	.	.	.
RNU6-9	ARID3A	+/+	+/+	chr19:893582	chr19:966350	exon	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	ENSG00000207507.1	ENSG00000116017.11	.	.	downstream	upstream	mismatches	.	.	.
RPS27AP19(218),RETN(2355)	MAP2K7	./.	+/.	chr19:7666694	chr19:7907076	intergenic	intron	deletion/read-through	0	0	0	1	1	low	.	.	.	.	.	.	ENSG00000076984.18	.	.	downstream	upstream	mismatches	.	.	.
LINC00905(7389),OR1AB1P(2398)	KLF2-DT	./.	-/.	chr19:16049531	chr19:16306329	intergenic	intron	deletion/read-through	0	0	0	3	1	low	.	.	.	.	.	.	ENSG00000267275.1	.	.	downstream	upstream	mismatches(1)	.	.	.
MEX3D(1952),RN7SL477P(298)	MEX3D(1975),RN7SL477P(275)	./.	./.	chr19:1570277	chr19:1570300	intergenic	intergenic	duplication/ITD	0	0	0	1	1	low	.	.	.	.	.	.	.	.	.	upstream	downstream	low_entropy(1)	.	.	.
